# [//parameter]: # "audioBaseURL:http://robvanson.github.io/PseudonymizeSpeech/Examples/Pseudonymized/";;;;;;
A;B;X;SpA;SpB;SpX;Condition
afo_chp27_utt063.wav;ksh_chp21_utt010.wav;afo_chp28_utt116.wav;afo;ksh;afo;Control
afo_chp28_utt158_500-120-4.0.wav;kmq_chp21_utt073_500-120-4.0.wav;afo_chp27_utt052.wav;afo;kmq;afo;Pseudonymized
hmc_chp15_utt049_575-175-4.0.wav;afo_chp27_utt012_575-175-4.0.wav;afo_chp28_utt107.wav;hmc;afo;afo;Pseudonymized
msm_chp33_utt042.wav;apr_chp27_utt003.wav;apr_chp20_utt126.wav;msm;apr;apr;Control
apr_chp07_utt013_500-120-4.0.wav;gma_chp26_utt020_500-120-4.0.wav;apr_chp10_utt043.wav;apr;gma;apr;Pseudonymized
apr_chp04_utt011_575-175-4.0.wav;mjd_chp19_utt099_575-175-4.0.wav;apr_chp24_utt061.wav;apr;mjd;apr;Pseudonymized
cve_chp18_utt054.wav;hmc_chp16_utt011.wav;cve_chp17_utt003.wav;cve;hmc;cve;Control
cve_chp17_utt011_500-120-4.0.wav;msm_chp16_utt048_500-120-4.0.wav;cve_chp17_utt083.wav;cve;msm;cve;Pseudonymized
kmq_chp22_utt008_575-175-4.0.wav;cve_chp17_utt017_575-175-4.0.wav;cve_chp17_utt061.wav;kmq;cve;cve;Pseudonymized
apr_chp11_utt143.wav;gma_chp26_utt019.wav;gma_chp03_utt016.wav;apr;gma;gma;Control
gma_chp04_utt020_500-120-4.0.wav;mbr_chp01_utt114_500-120-4.0.wav;gma_chp03_utt009.wav;gma;mbr;gma;Pseudonymized
afo_chp27_utt023_575-175-4.0.wav;gma_chp03_utt066_575-175-4.0.wav;gma_chp04_utt071.wav;afo;gma;gma;Pseudonymized
hmc_chp15_utt025.wav;gma_chp03_utt059.wav;hmc_chp15_utt062.wav;hmc;gma;hmc;Control
hmc_chp15_utt091_500-120-4.0.wav;nfo_chp24_utt053_500-120-4.0.wav;hmc_chp16_utt065.wav;hmc;nfo;hmc;Pseudonymized
hmc_chp16_utt055_575-175-4.0.wav;ksh_chp03_utt103_575-175-4.0.wav;hmc_chp15_utt070.wav;hmc;ksh;hmc;Pseudonymized
kmq_chp21_utt028.wav;iva_chp10_utt026.wav;iva_chp10_utt076.wav;kmq;iva;iva;Control
